symbol,entry_date,exit_date,entry_price,exit_price,position_pct,ret_pct,pnl,equity_after,holding_days
^DJI,2025-03-31,2025-04-07,42001.7617,37965.6016,0.1,-9.6095,-970.25,98957.84,5
^DJI,2025-04-07,2025-04-14,37965.6016,40524.7891,0.05,6.7408,328.58,99286.42,5
^DJI,2025-04-14,2025-04-22,40524.7891,39186.9805,0.05,-3.3012,-168.85,99117.58,5
^DJI,2025-04-22,2025-04-29,39186.9805,40527.6211,0.1,3.4211,329.18,99446.76,5
^DJI,2025-04-29,2025-05-06,40527.6211,40829.0,0.1,0.7436,64.01,99510.77,5
^DJI,2025-05-06,2025-05-13,40829.0,42140.4297,0.1,3.212,309.68,99820.44,5
^DJI,2025-05-13,2025-05-20,42140.4297,42677.2383,0.1,1.2739,117.17,99937.62,5
^DJI,2025-05-20,2025-05-28,42677.2383,42098.6992,0.1,-1.3556,-145.47,99792.15,5
^DJI,2025-06-04,2025-06-11,42427.7383,42865.7695,0.1,1.0324,93.05,99885.2,5
^DJI,2025-09-23,2025-09-30,46292.7812,46397.8906,0.05,0.2271,6.35,99891.54,5
^DJI,2025-10-01,2025-10-08,46441.1016,46601.7812,0.05,0.346,12.29,99903.83,5
^DJI,2025-10-08,2025-10-15,46601.7812,46253.3086,0.05,-0.7478,-42.35,99861.48,5
^DJI,2025-11-19,2025-11-26,46138.7695,47427.1211,0.1,2.7923,268.86,100130.34,5
^DJI,2025-12-30,2026-01-07,48367.0586,48996.0781,0.05,1.3005,60.1,100190.45,5
^DJI,2026-02-18,2026-02-25,49662.6602,49482.1484,0.05,-0.3635,-23.22,100167.23,5
^DJI,2026-02-25,2026-03-04,49482.1484,48739.4102,0.1,-1.501,-160.37,100006.86,5
^DJI,2026-03-04,2026-03-11,48739.4102,47417.2695,0.1,-2.7127,-281.29,99725.57,5
^DJI,2026-03-11,2026-03-18,47417.2695,46225.1484,0.1,-2.5141,-260.69,99464.88,5
^DJI,2026-03-18,2026-03-25,46225.1484,46429.4883,0.1,0.4421,34.02,99498.9,5
^DJI,2026-03-25,2026-04-01,46429.4883,46565.7383,0.1,0.2935,19.25,99518.15,5
^DJI,2026-04-06,2026-04-13,46669.8789,48218.25,0.05,3.3177,160.11,99678.26,5
^DJI,2026-04-14,2026-04-21,48535.9883,49149.3789,0.05,1.2638,58.0,99736.26,5
^DJI,2026-04-24,2026-05-01,49230.7109,49499.2695,0.05,0.5455,22.22,99758.48,5
^DJI,2026-05-14,2026-05-21,50063.4609,50285.6602,0.05,0.4438,17.15,99775.63,5
GLD,2024-04-11,2024-04-18,219.8,220.34,0.05,0.2457,7.28,100007.28,5
GLD,2024-04-23,2024-04-30,215.04,211.87,0.05,-1.4741,-78.71,99928.57,5
GLD,2024-04-30,2024-05-07,211.87,214.21,0.1,1.1045,100.37,100028.94,5
GLD,2024-05-07,2024-05-14,214.21,218.09,0.1,1.8113,171.18,100200.12,5
GLD,2024-05-14,2024-05-21,218.09,224.23,0.1,2.8154,272.08,100472.2,5
GLD,2024-05-21,2024-05-29,224.23,216.16,0.1,-3.599,-371.64,100100.56,5
GLD,2024-05-29,2024-06-05,216.16,217.82,0.1,0.768,66.86,100167.42,5
GLD,2024-06-05,2024-06-12,217.82,214.72,0.1,-1.4232,-152.57,100014.85,5
GLD,2024-06-12,2024-06-20,214.72,218.16,0.05,1.6021,75.12,100089.96,5
GLD,2024-06-20,2024-06-27,218.16,214.99,0.1,-1.4531,-155.45,99934.52,5
GLD,2024-06-27,2024-07-05,214.99,220.93,0.05,2.7629,133.06,100067.57,5
GLD,2024-07-05,2024-07-12,220.93,223.11,0.1,0.9867,88.73,100156.31,5
GLD,2024-10-10,2024-10-17,242.82,248.63,0.05,2.3927,114.82,100271.12,5
GLD,2024-10-17,2024-10-24,248.63,252.8,0.1,1.6772,158.15,100429.27,5
GLD,2024-10-24,2024-10-31,252.8,253.51,0.1,0.2809,18.16,100447.43,5
GLD,2024-10-31,2024-11-07,253.51,249.65,0.1,-1.5226,-162.99,100284.44,5
GLD,2024-11-08,2024-11-15,247.96,236.59,0.1,-4.5854,-469.87,99814.57,5
GLD,2024-11-15,2024-11-22,236.59,249.84,0.05,5.6004,274.51,100089.08,5
GLD,2024-11-22,2024-12-02,249.84,243.44,0.05,-2.5616,-133.2,99955.88,5
GLD,2024-12-04,2024-12-11,244.67,250.96,0.05,2.5708,123.49,100079.37,5
GLD,2024-12-24,2025-01-02,241.44,245.42,0.05,1.6484,77.48,100156.85,5
GLD,2025-01-06,2025-01-14,243.19,247.03,0.05,1.579,74.07,100230.92,5
GLD,2025-02-13,2025-02-21,270.31,270.74,0.05,0.1591,2.96,100233.88,5
GLD,2025-03-04,2025-03-11,269.06,269.16,0.05,0.0372,-3.15,100230.73,5
GLD,2025-03-11,2025-03-18,269.16,279.96,0.1,4.0125,392.15,100622.88,5
GLD,2025-03-18,2025-03-25,279.96,278.47,0.1,-0.5322,-63.62,100559.26,5
GLD,2025-03-25,2025-04-01,278.47,287.57,0.1,3.2679,318.56,100877.82,5
GLD,2025-04-01,2025-04-08,287.57,275.2,0.1,-4.3016,-444.02,100433.8,5
GLD,2025-04-17,2025-04-25,306.12,304.73,0.05,-0.4541,-27.82,100405.98,5
GLD,2025-04-30,2025-05-07,303.77,310.75,0.05,2.2978,110.34,100516.31,5
GLD,2025-05-08,2025-05-15,304.63,297.84,0.05,-2.2289,-117.05,100399.26,5
GLD,2025-06-18,2025-06-26,310.26,306.78,0.05,-1.1216,-61.33,100337.94,5
GLD,2025-06-26,2025-07-03,306.78,307.14,0.05,0.1174,0.87,100338.81,5
GLD,2025-07-03,2025-07-11,307.14,309.14,0.1,0.6512,55.3,100394.11,5
GLD,2025-07-14,2025-07-21,308.01,313.13,0.05,1.6623,78.42,100472.53,5
GLD,2025-07-30,2025-08-06,300.96,310.5,0.1,3.1699,308.44,100780.97,5
GLD,2025-08-15,2025-08-22,307.43,310.58,0.05,1.0246,46.59,100827.56,5
GLD,2025-10-01,2025-10-08,356.03,372.3,0.05,4.5698,225.34,101052.9,5
GLD,2025-10-22,2025-10-29,377.28,363.0,0.05,-3.785,-196.29,100856.61,5
GLD,2025-10-29,2025-11-05,363.0,366.51,0.1,0.9669,87.44,100944.05,5
GLD,2025-11-05,2025-11-12,366.51,385.99,0.1,5.315,526.42,101470.47,5
GLD,2025-11-12,2025-11-19,385.99,374.96,0.1,-2.8576,-300.11,101170.36,5
GLD,2025-11-19,2025-11-26,374.96,383.12,0.1,2.1762,210.05,101380.42,5
GLD,2025-12-09,2025-12-16,387.4,395.89,0.1,2.1915,212.04,101592.46,5
GLD,2025-12-16,2025-12-23,395.89,413.64,0.1,4.4836,445.34,102037.79,5
GLD,2025-12-23,2025-12-31,413.64,396.31,0.1,-4.1896,-437.71,101600.09,5
GLD,2026-02-02,2026-02-09,427.13,467.03,0.05,9.3414,469.46,102069.55,5
GLD,2026-02-10,2026-02-18,462.4,458.28,0.05,-0.891,-50.58,102018.98,5
GLD,2026-02-18,2026-02-25,458.28,473.42,0.05,3.3037,163.42,102182.39,5
GLD,2026-02-25,2026-03-04,473.42,471.8,0.05,-0.3422,-22.59,102159.8,5
GLD,2026-03-04,2026-03-11,471.8,476.24,0.05,0.9411,42.96,102202.76,5
GLD,2026-03-11,2026-03-18,476.24,444.74,0.1,-6.6143,-686.22,101516.54,5
GLD,2026-03-18,2026-03-25,444.74,416.29,0.1,-6.397,-659.55,100856.99,5
GLD,2026-03-25,2026-04-01,416.29,437.82,0.05,5.1719,255.77,101112.76,5
GLD,2026-04-01,2026-04-09,437.82,437.91,0.05,0.0206,-4.02,101108.74,5
GLD,2026-04-09,2026-04-16,437.91,440.08,0.1,0.4955,39.99,101148.73,5
GLD,2026-04-16,2026-04-23,440.08,431.04,0.1,-2.0542,-217.89,100930.84,5
GLD,2026-04-23,2026-04-30,431.04,423.66,0.1,-1.7121,-182.9,100747.94,5
GLD,2026-04-30,2026-05-07,423.66,431.68,0.1,1.893,180.64,100928.58,5
