date,AAPL,GLD,MSFT,TSLA,^DJI,^GSPC,^IXIC,^RUT,PORTFOLIO
2025-09-11,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100318.53384962503,100392.74141175066,99941.10013848534,99957.23303615958
2025-09-12,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100318.53384962503,100392.74141175066,99941.10013848534,99957.23303615958
2025-09-15,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100318.53384962503,100636.02507808048,99941.10013848534,99987.64349445081
2025-09-16,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100318.53384962503,100636.02507808048,99941.10013848534,99987.64349445081
2025-09-17,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100318.53384962503,100636.02507808048,99941.10013848534,99987.64349445081
2025-09-18,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100318.53384962503,100636.02507808048,99941.10013848534,99987.64349445081
2025-09-19,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100318.53384962503,100636.02507808048,99941.10013848534,99987.64349445081
2025-09-22,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100318.53384962503,100636.02507808048,99941.10013848534,99987.64349445081
2025-09-23,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100318.53384962503,100733.88371492524,99941.10013848534,99999.8758240564
2025-09-24,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100318.53384962503,100733.88371492524,99941.10013848534,99999.8758240564
2025-09-25,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100318.53384962503,100733.88371492524,99941.10013848534,99999.8758240564
2025-09-26,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100297.96843548767,100733.88371492524,99941.10013848534,99997.30514728923
2025-09-29,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99885.19672168005,100297.96843548767,100733.88371492524,99941.10013848534,99997.30514728923
2025-09-30,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99891.54210305333,100297.96843548767,100762.42829528937,99941.10013848534,100001.6663925064
2025-10-01,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99891.54210305333,100297.96843548767,100762.42829528937,99941.10013848534,100001.6663925064
2025-10-02,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99891.54210305333,100297.96843548767,100762.42829528937,99941.10013848534,100001.6663925064
2025-10-03,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99891.54210305333,100297.96843548767,100762.42829528937,99941.10013848534,100001.6663925064
2025-10-06,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99891.54210305333,100297.96843548767,100762.42829528937,99941.10013848534,100001.6663925064
2025-10-07,97264.46222867932,100827.5634904918,99748.52480511622,101279.74164344821,99891.54210305333,100297.96843548767,100809.42536551283,99941.10013848534,100007.54102628434
2025-10-08,97264.46222867932,101052.90485476739,99748.52480511622,101279.74164344821,99903.82806110884,100297.96843548767,100809.42536551283,99941.10013848534,100037.24444157573
2025-10-09,97264.46222867932,101052.90485476739,99748.52480511622,101279.74164344821,99903.82806110884,100307.7097621333,100809.42536551283,99941.10013848534,100038.46210740643
2025-10-10,97264.46222867932,101052.90485476739,99748.52480511622,101279.74164344821,99903.82806110884,100307.7097621333,100809.42536551283,99941.10013848534,100038.46210740643
2025-10-13,97264.46222867932,101052.90485476739,99748.52480511622,101279.74164344821,99903.82806110884,100307.7097621333,100809.42536551283,99941.10013848534,100038.46210740643
2025-10-14,96924.42773397558,101052.90485476739,99748.52480511622,101279.74164344821,99903.82806110884,100307.7097621333,100681.38131436858,99941.10013848534,99979.95228917543
2025-10-15,96924.42773397558,101052.90485476739,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99974.65884228125
2025-10-16,96924.42773397558,101052.90485476739,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99974.65884228125
2025-10-17,96924.42773397558,101052.90485476739,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99974.65884228125
2025-10-20,96924.42773397558,101052.90485476739,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99974.65884228125
2025-10-21,96924.42773397558,101052.90485476739,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99974.65884228125
2025-10-22,96924.42773397558,101052.90485476739,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99974.65884228125
2025-10-23,96924.42773397558,101052.90485476739,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99974.65884228125
2025-10-24,96924.42773397558,101052.90485476739,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99974.65884228125
2025-10-27,96924.42773397558,101052.90485476739,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99974.65884228125
2025-10-28,96924.42773397558,101052.90485476739,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99974.65884228125
2025-10-29,96924.42773397558,100856.61024564643,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99950.12201614113
2025-10-30,96924.42773397558,100856.61024564643,99748.52480511622,101279.74164344821,99861.48048595543,100307.7097621333,100681.38131436858,99941.10013848534,99950.12201614113
2025-10-31,96924.42773397558,100856.61024564643,99748.52480511622,101279.74164344821,99861.48048595543,100338.51721684619,100681.38131436858,99941.10013848534,99953.97294798025
2025-11-03,96924.42773397558,100856.61024564643,99748.52480511622,101279.74164344821,99861.48048595543,100338.51721684619,100681.38131436858,99941.10013848534,99953.97294798025
2025-11-04,96924.42773397558,100856.61024564643,99748.52480511622,101279.74164344821,99861.48048595543,100338.51721684619,100681.38131436858,99941.10013848534,99953.97294798025
2025-11-05,96924.42773397558,100944.04736337945,99748.52480511622,101279.74164344821,99861.48048595543,100338.51721684619,100681.38131436858,99941.10013848534,99964.90258769687
2025-11-06,96924.42773397558,100944.04736337945,99748.52480511622,101279.74164344821,99861.48048595543,100338.51721684619,100681.38131436858,99941.10013848534,99964.90258769687
2025-11-07,96924.42773397558,100944.04736337945,99748.52480511622,101279.74164344821,99861.48048595543,100251.79398346857,100681.38131436858,99842.26431534639,99941.7077056323
2025-11-10,96924.42773397558,100944.04736337945,99748.52480511622,101279.74164344821,99861.48048595543,100251.79398346857,100681.38131436858,99842.26431534639,99941.7077056323
2025-11-11,96924.42773397558,100944.04736337945,99748.52480511622,101279.74164344821,99861.48048595543,100251.79398346857,100681.38131436858,99842.26431534639,99941.7077056323
2025-11-12,96924.42773397558,101470.46983913233,99748.52480511622,101279.74164344821,99861.48048595543,100251.79398346857,100681.38131436858,99842.26431534639,100007.51051510141
2025-11-13,96924.42773397558,101470.46983913233,99748.52480511622,101279.74164344821,99861.48048595543,100251.79398346857,100636.24961277621,99842.26431534639,100001.86905240237
2025-11-14,96924.42773397558,101470.46983913233,99748.52480511622,101279.74164344821,99861.48048595543,100249.68021346911,100636.24961277621,99745.77395696811,99989.54353635515
2025-11-17,96924.42773397558,101470.46983913233,99748.52480511622,101279.74164344821,99861.48048595543,100249.68021346911,100636.24961277621,99745.77395696811,99989.54353635515
2025-11-18,96924.42773397558,101470.46983913233,99748.52480511622,101279.74164344821,99861.48048595543,100249.68021346911,100636.24961277621,99745.77395696811,99989.54353635515
2025-11-19,96924.42773397558,101170.36212301793,99748.52480511622,101279.74164344821,99861.48048595543,100249.68021346911,100636.24961277621,99745.77395696811,99952.03007184085
2025-11-20,96924.42773397558,101170.36212301793,99748.52480511622,101279.74164344821,99861.48048595543,100249.68021346911,100277.54710504282,99745.77395696811,99907.19225837418
2025-11-21,96924.42773397558,101170.36212301793,99748.52480511622,101279.74164344821,99861.48048595543,100249.68021346911,100277.54710504282,99701.8613862228,99901.70318703102
2025-11-24,96924.42773397558,101170.36212301793,99414.40998859248,101279.74164344821,99861.48048595543,100288.80035264276,100277.54710504282,99701.8613862228,99864.82885236225
2025-11-25,96924.42773397558,101170.36212301793,99414.40998859248,101279.74164344821,99861.48048595543,100288.80035264276,100277.54710504282,99701.8613862228,99864.82885236225
2025-11-26,96924.42773397558,101380.41538343304,99414.40998859248,101279.74164344821,100130.34159743441,100288.80035264276,100277.54710504282,99701.8613862228,99924.69314884901
2025-11-28,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100288.80035264276,100277.54710504282,99701.8613862228,99980.01988153679
2025-12-01,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100288.80035264276,100277.54710504282,99906.28598992826,100005.57295699998
2025-12-02,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100376.70657046596,100277.54710504282,99906.28598992826,100016.56123422789
2025-12-03,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100376.70657046596,100454.13315360984,99906.28598992826,100038.63449029876
2025-12-04,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100376.70657046596,100454.13315360984,99906.28598992826,100038.63449029876
2025-12-05,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100376.70657046596,100454.13315360984,99906.28598992826,100038.63449029876
2025-12-08,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100376.70657046596,100454.13315360984,99906.28598992826,100038.63449029876
2025-12-09,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100379.87415059978,100454.13315360984,100144.58378979051,100068.81766279826
2025-12-10,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100379.87415059978,100454.13315360984,100144.58378979051,100068.81766279826
2025-12-11,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100379.87415059978,100454.13315360984,100144.58378979051,100068.81766279826
2025-12-12,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100379.87415059978,100454.13315360984,100144.58378979051,100068.81766279826
2025-12-15,96924.42773397558,101380.41538343304,99414.40998859248,101722.35550495045,100130.34159743441,100379.87415059978,100454.13315360984,100144.58378979051,100068.81766279826
2025-12-16,96924.42773397558,101592.45644463289,99251.53463877387,101722.35550495045,100130.34159743441,100379.87415059978,100454.13315360984,100144.58378979051,100074.96337672092
2025-12-17,96924.42773397558,101592.45644463289,99251.53463877387,101722.35550495045,100130.34159743441,100379.87415059978,100454.13315360984,100144.58378979051,100074.96337672092
2025-12-18,96924.42773397558,101592.45644463289,99251.53463877387,101722.35550495045,100130.34159743441,100379.87415059978,100454.13315360984,100144.58378979051,100074.96337672092
2025-12-19,96924.42773397558,101592.45644463289,99251.53463877387,101722.35550495045,100130.34159743441,100379.87415059978,100492.78748610959,100144.58378979051,100079.7951682834
2025-12-22,96924.42773397558,101592.45644463289,99251.53463877387,101722.35550495045,100130.34159743441,100379.87415059978,100492.78748610959,100144.58378979051,100079.7951682834
2025-12-23,96924.42773397558,102037.79393676129,99251.53463877387,101722.35550495045,100130.34159743441,100379.87415059978,100492.78748610959,100144.58378979051,100135.46235479944
2025-12-24,96924.42773397558,102037.79393676129,99489.67565949522,101722.35550495045,100130.34159743441,100684.38189661261,100492.78748610959,100251.64307964522,100216.67586187305
2025-12-26,96924.42773397558,102037.79393676129,99489.67565949522,101722.35550495045,100130.34159743441,100684.38189661261,100492.78748610959,100251.64307964522,100216.67586187305
2025-12-29,96924.42773397558,102037.79393676129,99489.67565949522,101722.35550495045,100130.34159743441,100684.38189661261,100492.78748610959,100251.64307964522,100216.67586187305
2025-12-30,96924.42773397558,102037.79393676129,99489.67565949522,101722.35550495045,100130.34159743441,100684.38189661261,100492.78748610959,100251.64307964522,100216.67586187305
2025-12-31,96924.42773397558,101600.08879141856,99489.67565949522,101722.35550495045,100130.34159743441,100684.38189661261,100492.78748610959,100251.64307964522,100161.96271870521
2026-01-02,96924.42773397558,101600.08879141856,99489.67565949522,101722.35550495045,100130.34159743441,100684.38189661261,100492.78748610959,100251.64307964522,100161.96271870521
2026-01-05,96924.42773397558,101600.08879141856,99489.67565949522,101722.35550495045,100130.34159743441,100684.38189661261,100398.70878017884,100251.64307964522,100150.20288046385
2026-01-06,96924.42773397558,101600.08879141856,99489.67565949522,101722.35550495045,100130.34159743441,100684.38189661261,100398.70878017884,100251.64307964522,100150.20288046385
2026-01-07,96924.42773397558,101600.08879141856,99443.78108032554,101722.35550495045,100190.44544923655,100684.38189661261,100398.70878017884,100251.64307964522,100151.97903954292
2026-01-08,96924.42773397558,101600.08879141856,99443.78108032554,101722.35550495045,100190.44544923655,100684.38189661261,100398.70878017884,100251.64307964522,100151.97903954292
2026-01-09,96924.42773397558,101600.08879141856,99443.78108032554,101722.35550495045,100190.44544923655,100684.38189661261,100398.70878017884,100251.64307964522,100151.97903954292
2026-01-12,96924.42773397558,101600.08879141856,99443.78108032554,101722.35550495045,100190.44544923655,100684.38189661261,100398.70878017884,100251.64307964522,100151.97903954292
2026-01-13,96924.42773397558,101600.08879141856,99443.78108032554,101722.35550495045,100190.44544923655,100684.38189661261,100398.70878017884,100251.64307964522,100151.97903954292
2026-01-14,96924.42773397558,101600.08879141856,99443.78108032554,101722.35550495045,100190.44544923655,100684.38189661261,100398.70878017884,100251.64307964522,100151.97903954292
2026-01-15,96924.42773397558,101600.08879141856,99443.78108032554,101722.35550495045,100190.44544923655,100684.38189661261,100398.70878017884,100251.64307964522,100151.97903954292
2026-01-16,96924.42773397558,101600.08879141856,99443.78108032554,101722.35550495045,100190.44544923655,100684.38189661261,100398.70878017884,100251.64307964522,100151.97903954292
