date,equity,symbol,daily_ret
2025-12-12,96924.42773397558,AAPL,0.0
2025-12-15,96924.42773397558,AAPL,0.0
2025-12-16,96924.42773397558,AAPL,0.0
2025-12-17,96924.42773397558,AAPL,0.0
2025-12-18,96924.42773397558,AAPL,0.0
2025-12-19,96924.42773397558,AAPL,0.0
2025-12-22,96924.42773397558,AAPL,0.0
2025-12-23,96924.42773397558,AAPL,0.0
2025-12-24,96924.42773397558,AAPL,0.0
2025-12-26,96924.42773397558,AAPL,0.0
2025-12-29,96924.42773397558,AAPL,0.0
2025-12-30,96924.42773397558,AAPL,0.0
2025-12-31,96924.42773397558,AAPL,0.0
2026-01-02,96924.42773397558,AAPL,0.0
2026-01-05,96924.42773397558,AAPL,0.0
2026-01-06,96924.42773397558,AAPL,0.0
2026-01-07,96924.42773397558,AAPL,0.0
2026-01-08,96924.42773397558,AAPL,0.0
2026-01-09,96924.42773397558,AAPL,0.0
2026-01-12,96924.42773397558,AAPL,0.0
2026-01-13,96924.42773397558,AAPL,0.0
2026-01-14,96924.42773397558,AAPL,0.0
2026-01-15,96924.42773397558,AAPL,0.0
2026-01-16,96924.42773397558,AAPL,0.0
2026-01-20,96924.42773397558,AAPL,0.0
2026-01-21,96924.42773397558,AAPL,0.0
2026-01-22,96924.42773397558,AAPL,0.0
2026-01-23,96924.42773397558,AAPL,0.0
2026-01-26,96924.42773397558,AAPL,0.0
2026-01-27,96924.42773397558,AAPL,0.0
2026-01-28,96924.42773397558,AAPL,0.0
2026-01-29,97113.35216566901,AAPL,0.001949193161211893
2026-01-30,97113.35216566901,AAPL,0.0
2026-02-02,97113.35216566901,AAPL,0.0
2026-02-03,97113.35216566901,AAPL,0.0
2026-02-04,97113.35216566901,AAPL,0.0
2026-02-05,97113.35216566901,AAPL,0.0
2026-02-06,97113.35216566901,AAPL,0.0
2026-02-09,97113.35216566901,AAPL,0.0
2026-02-10,97113.35216566901,AAPL,0.0
2026-02-11,97113.35216566901,AAPL,0.0
2026-02-12,97113.35216566901,AAPL,0.0
2026-02-13,97113.35216566901,AAPL,0.0
2026-02-17,97113.35216566901,AAPL,0.0
2026-02-18,97113.35216566901,AAPL,0.0
2026-02-19,97113.35216566901,AAPL,0.0
2026-02-20,97113.35216566901,AAPL,0.0
2026-02-23,97113.35216566901,AAPL,0.0
2026-02-24,97113.35216566901,AAPL,0.0
2026-02-25,97113.35216566901,AAPL,0.0
2026-02-26,97113.35216566901,AAPL,0.0
2026-02-27,97113.35216566901,AAPL,0.0
2026-03-02,97113.35216566901,AAPL,0.0
2026-03-03,97113.35216566901,AAPL,0.0
2026-03-04,97113.35216566901,AAPL,0.0
2026-03-05,97113.35216566901,AAPL,0.0
2026-03-06,97113.35216566901,AAPL,0.0
2026-03-09,97113.35216566901,AAPL,0.0
2026-03-10,97113.35216566901,AAPL,0.0
2026-03-11,97113.35216566901,AAPL,0.0
2026-03-12,97113.35216566901,AAPL,0.0
2026-03-13,96826.77775544506,AAPL,-0.0029509269717625797
2026-03-16,96826.77775544506,AAPL,0.0
2026-03-17,96826.77775544506,AAPL,0.0
2026-03-18,96826.77775544506,AAPL,0.0
2026-03-19,96826.77775544506,AAPL,0.0
2026-03-20,96734.63864236929,AAPL,-0.0009515871044318835
2026-03-23,96734.63864236929,AAPL,0.0
2026-03-24,96734.63864236929,AAPL,0.0
2026-03-25,96734.63864236929,AAPL,0.0
2026-03-26,96734.63864236929,AAPL,0.0
2026-03-27,96756.56113777605,AAPL,0.000226625081919396
2026-03-30,96756.56113777605,AAPL,0.0
2026-03-31,96756.56113777605,AAPL,0.0
2026-04-01,96756.56113777605,AAPL,0.0
2026-04-02,96756.56113777605,AAPL,0.0
2026-04-06,97138.11107671724,AAPL,0.0039434011963062066
2026-04-07,97138.11107671724,AAPL,0.0
2026-04-08,97138.11107671724,AAPL,0.0
2026-04-09,97138.11107671724,AAPL,0.0
2026-04-10,97138.11107671724,AAPL,0.0
2026-04-13,97141.15689178769,AAPL,3.135551058885966e-05
2026-04-14,97141.15689178769,AAPL,0.0
2026-04-15,97141.15689178769,AAPL,0.0
2026-04-16,97141.15689178769,AAPL,0.0
2026-04-17,97141.15689178769,AAPL,0.0
2026-04-20,97395.82965415514,AAPL,0.002621677263439981
2026-04-21,97395.82965415514,AAPL,0.0
2026-04-22,97395.82965415514,AAPL,0.0
2026-04-23,97395.82965415514,AAPL,0.0
2026-04-24,97395.82965415514,AAPL,0.0
2026-04-27,97395.82965415514,AAPL,0.0
2026-04-28,97395.82965415514,AAPL,0.0
2026-04-29,97395.82965415514,AAPL,0.0
2026-04-30,97395.82965415514,AAPL,0.0
2026-05-01,97395.82965415514,AAPL,0.0
2026-05-04,97395.82965415514,AAPL,0.0
2026-05-05,97395.82965415514,AAPL,0.0
2026-05-06,97395.82965415514,AAPL,0.0
2026-05-07,97395.82965415514,AAPL,0.0
2026-05-08,97395.82965415514,AAPL,0.0
2026-05-11,97395.82965415514,AAPL,0.0
2026-05-12,97395.82965415514,AAPL,0.0
2026-05-13,97395.82965415514,AAPL,0.0
2026-05-14,97395.82965415514,AAPL,0.0
2026-05-15,97395.82965415514,AAPL,0.0
2026-05-18,97395.82965415514,AAPL,0.0
2026-05-19,97395.82965415514,AAPL,0.0
2026-05-20,97395.82965415514,AAPL,0.0
2026-05-21,97395.82965415514,AAPL,0.0
2026-05-22,97395.82965415514,AAPL,0.0
2026-05-26,97395.82965415514,AAPL,0.0
2026-05-27,97395.82965415514,AAPL,0.0
2026-05-28,97395.82965415514,AAPL,0.0
2026-05-29,97395.82965415514,AAPL,0.0
