symbol,scenario,n_features,fold,split,n_rows,mae,rmse,r2
AAPL,PRICE+TECH+LAG,38,10,test,125,0.005844486190947746,0.00660545630977302,-1.1869192919840925
AAPL,ALL_NO_MACRO,47,10,test,125,0.005617740722647501,0.0064262683928856265,-1.0698783726166479
AAPL,ALL_NO_REGIME,51,10,test,125,0.007307815560111943,0.008121448353634212,-2.3059332518094697
AAPL,ALL_FULL,60,10,test,125,0.006980963337799428,0.007784689883531725,-2.0374542111231717
AAPL,PRICE_ONLY,5,11,test,125,0.006170186312609802,0.007082177660405632,-1.992054254979529
AAPL,PRICE+TECH,33,11,test,125,0.006060722790717569,0.006937268585841011,-1.8708655142151147
AAPL,PRICE+TECH+LAG,38,11,test,125,0.006029816508448507,0.006865277768107202,-1.8115904338876634
AAPL,ALL_NO_MACRO,47,11,test,125,0.005969282874189756,0.00680102172735471,-1.759206184365583
AAPL,ALL_NO_REGIME,51,11,test,125,0.007931681788617478,0.008820281613356708,-3.6408842123331926
AAPL,ALL_FULL,60,11,test,125,0.008064207030677803,0.00892084866251861,-3.7473163591822027
AAPL,PRICE_ONLY,5,12,test,125,0.0059343986568451655,0.006733368304936914,-1.7173869217472664
AAPL,PRICE+TECH,33,12,test,125,0.0050861589954830115,0.006004147699702769,-1.1606751370988753
AAPL,PRICE+TECH+LAG,38,12,test,125,0.00501853600648528,0.005935819710680722,-1.1117774270827003
AAPL,ALL_NO_MACRO,47,12,test,125,0.005124640627372721,0.006041540801607977,-1.1876717861887602
AAPL,ALL_NO_REGIME,51,12,test,125,0.006359322132746651,0.0071838775987936344,-2.0931756901907788
AAPL,ALL_FULL,60,12,test,125,0.006295811904792631,0.0071460329191652015,-2.060671821731814
AAPL,PRICE_ONLY,5,13,test,125,0.005917380397875336,0.007722425454511037,-0.26350182632800156
AAPL,PRICE+TECH,33,13,test,125,0.006542197734865145,0.00824678459028834,-0.44091288883686786
AAPL,PRICE+TECH+LAG,38,13,test,125,0.006475006183299294,0.008203611703210536,-0.42586568232993516
AAPL,ALL_NO_MACRO,47,13,test,125,0.006709915230382565,0.008404693820275859,-0.4966223219287129
AAPL,ALL_NO_REGIME,51,13,test,125,0.006141359161324081,0.0075428959917814755,-0.20543740401102029
AAPL,ALL_FULL,60,13,test,125,0.0061969997995715,0.0075880119290283755,-0.21990057087973325
AAPL,PRICE_ONLY,5,14,test,125,0.0058373936883814375,0.007452269275946697,-0.11156585764117799
AAPL,PRICE+TECH,33,14,test,125,0.007561675469119185,0.009120380170731765,-0.6648840933385847
AAPL,PRICE+TECH+LAG,38,14,test,125,0.0074455187488326495,0.00904729178766187,-0.6383071057097731
AAPL,ALL_NO_MACRO,47,14,test,125,0.007627770829260367,0.009199502524282832,-0.6938962494896017
AAPL,ALL_NO_REGIME,51,14,test,125,0.006422040705006066,0.008464535287092886,-0.434050219347639
AAPL,ALL_FULL,60,14,test,125,0.006410028259260508,0.008468644802930421,-0.43544301469189794
AAPL,PRICE_ONLY,5,15,test,125,0.004985784426106816,0.006599191483600627,-0.9841365462283873
AAPL,PRICE+TECH,33,15,test,125,0.004429694334057115,0.0058422749674453605,-0.5550848227291456
AAPL,PRICE+TECH+LAG,38,15,test,125,0.004558119678199773,0.0059972887483778865,-0.638702115896812
AAPL,ALL_NO_MACRO,47,15,test,125,0.004531475078353415,0.005961171305367641,-0.6190240527623387
AAPL,ALL_NO_REGIME,51,15,test,125,0.004608175525482362,0.006431744232059815,-0.8847234220861868
AAPL,ALL_FULL,60,15,test,125,0.0044645963256228546,0.006278982855068775,-0.796257897980807
AAPL,PRICE_ONLY,5,16,test,125,0.0073675499862182825,0.010295845092073411,-0.917610638063004
AAPL,PRICE+TECH,33,16,test,125,0.004486310334832736,0.007004090903507594,0.11255799963980684
AAPL,PRICE+TECH+LAG,38,16,test,125,0.004520369765691449,0.007036463575072781,0.10433558769878704
AAPL,ALL_NO_MACRO,47,16,test,125,0.004533232261082011,0.0071317922276812745,0.0799026169597502
AAPL,ALL_NO_REGIME,51,16,test,125,0.004719548646150477,0.0073323901038393775,0.027415024911385477
AAPL,ALL_FULL,60,16,test,125,0.004698862290211482,0.007477906372657868,-0.011571249364664027
AAPL,PRICE_ONLY,5,17,test,125,0.012349705656187435,0.018504011609490948,-0.6353339082979834
AAPL,PRICE+TECH,33,17,test,125,0.009869944690654029,0.015687385692798293,-0.17537325947803373
AAPL,PRICE+TECH+LAG,38,17,test,125,0.009878110715476117,0.015523955331891237,-0.1510108731328399
AAPL,ALL_NO_MACRO,47,17,test,125,0.010521938852061484,0.01634883300354172,-0.2765804017638833
AAPL,ALL_NO_REGIME,51,17,test,125,0.008259739853043855,0.012733273228500866,0.22561884833607848
AAPL,ALL_FULL,60,17,test,125,0.008192180742496672,0.012673673235107824,0.23285109685841476
AAPL,PRICE_ONLY,5,18,test,125,0.007529966659584691,0.010748326840191308,-0.1607820631261374
AAPL,PRICE+TECH,33,18,test,125,0.008009388642585146,0.011728508159253057,-0.3821478700782919
AAPL,PRICE+TECH+LAG,38,18,test,125,0.008311811671366178,0.012354356480854275,-0.5335898213697698
AAPL,ALL_NO_MACRO,47,18,test,125,0.008321467067718509,0.012013970537119069,-0.4502473658501196
AAPL,ALL_NO_REGIME,51,18,test,125,0.006744288562742925,0.008673062902299952,0.2441877048006058
AAPL,ALL_FULL,60,18,test,125,0.006787513729644901,0.008657574539399427,0.24688475489438066
AAPL,PRICE_ONLY,5,19,test,125,0.004806203331036857,0.006064881854019016,-0.07338767044934102
AAPL,PRICE+TECH,33,19,test,125,0.005300810097296332,0.006037777489499068,-0.06381502550508378
AAPL,PRICE+TECH+LAG,38,19,test,125,0.00529780720469478,0.006046653121464144,-0.06694497543507416
AAPL,ALL_NO_MACRO,47,19,test,125,0.0053679525724956,0.0061465070773909095,-0.10247483305201532
AAPL,ALL_NO_REGIME,51,19,test,125,0.005101170025524806,0.005774122785634188,0.02706474212450083
AAPL,ALL_FULL,60,19,test,125,0.00513526476685344,0.005817312277784937,0.012455515832013764
AAPL,PRICE_ONLY,5,20,test,125,0.004244381461756642,0.005424904217086424,0.024859692535845412
AAPL,PRICE+TECH,33,20,test,125,0.005375116071241269,0.0063656266215212625,-0.34265762252837306
AAPL,PRICE+TECH+LAG,38,20,test,125,0.00536882588765532,0.006350658128572901,-0.3363506450445164
AAPL,ALL_NO_MACRO,47,20,test,125,0.005407223844638916,0.0063945640487866225,-0.3548925117035766
AAPL,ALL_NO_REGIME,51,20,test,125,0.005827960433223343,0.00688381494211033,-0.5701506830534964
AAPL,ALL_FULL,60,20,test,125,0.005890025119975404,0.007015498756912315,-0.6307975982301912
TSLA,PRICE_ONLY,5,0,test,125,0.013345882777655842,0.017779058690837405,-0.007339195457803704
TSLA,PRICE+TECH,33,0,test,125,0.03465670011179026,0.037695942411492926,-3.528427468032887
TSLA,PRICE+TECH+LAG,38,0,test,125,0.03529488069544074,0.038209796772278856,-3.652727965223619
TSLA,ALL_NO_MACRO,47,0,test,125,0.03741766698710168,0.04011085004888524,-4.127219817080257
TSLA,ALL_NO_REGIME,51,0,test,125,0.025803035287457074,0.029151691728146537,-1.708231162058171
TSLA,ALL_FULL,60,0,test,125,0.025555120023646453,0.028836246668740316,-1.6499377328660292
TSLA,PRICE_ONLY,5,1,test,125,0.012668137975414329,0.017665028355396,-0.0915114453432011
TSLA,PRICE+TECH,33,1,test,125,0.016898268946086776,0.0205118918704053,-0.47167208811123573
TSLA,PRICE+TECH+LAG,38,1,test,125,0.01730409162798697,0.02089347241714663,-0.5269361054442487
TSLA,ALL_NO_MACRO,47,1,test,125,0.01709920821025898,0.02095356279869589,-0.5357317824386232
TSLA,ALL_NO_REGIME,51,1,test,125,0.016420517516205817,0.019699869794126967,-0.35745776967107146
TSLA,ALL_FULL,60,1,test,125,0.016803026933278124,0.02016096044417081,-0.4217461185738627
TSLA,PRICE_ONLY,5,2,test,125,0.0633644929994147,0.06389314352269146,-61.6555999224707
TSLA,PRICE+TECH,33,2,test,125,0.033306668242358034,0.03458088369319571,-17.353696906311814
TSLA,PRICE+TECH+LAG,38,2,test,125,0.03394072168658079,0.03526777144889305,-18.09006541028514
TSLA,ALL_NO_MACRO,47,2,test,125,0.033574013299261775,0.03483751555030972,-17.627120849757404
TSLA,ALL_NO_REGIME,51,2,test,125,0.03470450440265467,0.03614424094477101,-19.050702738865116
TSLA,ALL_FULL,60,2,test,125,0.03466814167834518,0.03620041176420266,-19.113071709555037
TSLA,PRICE_ONLY,5,3,test,125,0.01908511937795153,0.023012416165163953,-2.30078863413833
TSLA,PRICE+TECH,33,3,test,125,0.010272151015763112,0.012406459389077829,0.040623683737811445
TSLA,PRICE+TECH+LAG,38,3,test,125,0.010439827436747469,0.012626894551334063,0.006228852131372142
TSLA,ALL_NO_MACRO,47,3,test,125,0.010847763643665173,0.012685685744009492,-0.0030467468736674608
TSLA,ALL_NO_REGIME,51,3,test,125,0.010543866259155842,0.01212161080210589,0.0841719356191386
TSLA,ALL_FULL,60,3,test,125,0.010212305629664888,0.011860213225580745,0.12324496151542141
TSLA,PRICE_ONLY,5,4,test,125,0.014491195202599547,0.018477825728854314,-0.5697795151968308
TSLA,PRICE+TECH,33,4,test,125,0.01233358013171115,0.016242788258433786,-0.2129924273567403
TSLA,PRICE+TECH+LAG,38,4,test,125,0.012302769503898504,0.01629356671926917,-0.2205884343202511
TSLA,ALL_NO_MACRO,47,4,test,125,0.012694604760772327,0.016676219814009637,-0.27859248044177276
